ID-Produto,Produto,Categoria,Segmento,Fabricante,Loja,Cidade,Estado,Vendedor,ID-Vendedor,Data Venda,ValorVenda,pre�o Custo,,
SKU-0000302,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Marcos Paulo,1204,01/11/14,1230,774,9,
SKU-0000302,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Marcos Paulo,1204,01/11/14,1230,774,9,
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,13/11/14,1230,774,9,
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,13/11/14,1230,774,9,
SKU-0000151,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1205,17/11/14,3999,2519,37,
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Marcos Paulo,1204,18/11/14,3999,2519,37,
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1201,19/11/14,3999,2519,37,
SKU-0000173,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Marcos Paulo,1204,22/11/14,3999,2519,37,
SKU-0000176,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1201,23/11/14,3999,2519,37,
SKU-0000179,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1203,24/11/14,1230,774,9,
SKU-0000180,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Mateus Gon�alves,1205,25/11/14,1230,774,9,
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Marcos Paulo,1204,26/11/14,1230,774,9,
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Josias Silva,1203,27/11/14,3999,2519,37,
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1205,28/11/14,3999,2519,37,
SKU-0000173,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1202,30/11/14,3999,2519,37,
SKU-0000176,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1202,01/12/14,3999,2519,37,
SKU-0000179,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,02/12/14,1230,774,9,
SKU-0000180,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,03/12/14,1230,774,9,
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Aline Sutter,1201,04/12/14,1230,774,9,
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1205,17/12/14,3999,2519,37,
SKU-0000176,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1201,19/12/14,3999,2519,37,
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Aline Sutter,1201,21/12/14,1230,774,9,
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,22/12/14,1230,774,9,
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Aline Sutter,1201,27/12/14,1230,774,9,
SKU-0000302,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Marcos Paulo,1204,01/11/14,1230,774,9,
SKU-0000302,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Marcos Paulo,1204,01/11/14,1230,774,9,
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,13/11/14,1230,774,9,
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,13/11/14,1230,774,9,
SKU-0000151,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1205,17/11/14,3999,2519,37,
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Marcos Paulo,1204,18/11/14,3999,2519,37,
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1201,19/11/14,3999,2519,37,
SKU-0000173,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Marcos Paulo,1204,22/11/14,3999,2519,37,
SKU-0000176,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1201,23/11/14,3999,2519,37,
SKU-0000179,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1203,24/11/14,1230,774,9,
SKU-0000180,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Mateus Gon�alves,1205,25/11/14,1230,774,9,
